grupo,nome,descricao,sku,preco,estoque,tamanho,cor,peso,marca,categorias,tags,imagens
CMS-008,Camiseta Oversized Boxy Cinza Chumbo,,BVBA-CMS-008-M,,,M,Cinza Chumbo,0.33,BVBA,,,
CMS-008,Camiseta Oversized Boxy Cinza Chumbo,,BVBA-CMS-008-G,,,G,Cinza Chumbo,0.36,BVBA,,,
CMS-008,Camiseta Oversized Boxy Cinza Chumbo,,BVBA-CMS-008-GG,,,GG,Cinza Chumbo,0.40,BVBA,,,
CMS-008,Camiseta Oversized Boxy Cinza Chumbo,,BVBA-CMS-008-XGG,,,XGG,Cinza Chumbo,0.44,BVBA,,,
CMS-009,Camiseta Oversized Boxy Azul Escuro Peito Esquerdo,"Camiseta de modelagem oversized boxy com drop shoulder. Estampa no peito esquerdo (8 cm) e estampa centralizada nas costas (30 cm), em off white. Etiqueta interna de tamanho BVBA e etiqueta clipes BVBA na manga esquerda. Coleção AW 2026.",BVBA-CMS-009-P,,,P,Azul Escuro,0.30,BVBA,Camisetas|AW 2026,aw2026|drop2|oversized,
CMS-009,Camiseta Oversized Boxy Azul Escuro Peito Esquerdo,,BVBA-CMS-009-M,,,M,Azul Escuro,0.33,BVBA,,,
CMS-009,Camiseta Oversized Boxy Azul Escuro Peito Esquerdo,,BVBA-CMS-009-G,,,G,Azul Escuro,0.36,BVBA,,,
CMS-009,Camiseta Oversized Boxy Azul Escuro Peito Esquerdo,,BVBA-CMS-009-GG,,,GG,Azul Escuro,0.40,BVBA,,,
CMS-009,Camiseta Oversized Boxy Azul Escuro Peito Esquerdo,,BVBA-CMS-009-XGG,,,XGG,Azul Escuro,0.44,BVBA,,,
CMS-010,Camiseta Oversized Boxy Marrom Café Peito Esquerdo,"Camiseta de modelagem oversized boxy com drop shoulder. Estampa no peito esquerdo (8 cm) e estampa centralizada nas costas (30 cm), em bege. Etiqueta interna de tamanho BVBA e etiqueta clipes BVBA na manga esquerda. Coleção AW 2026.",BVBA-CMS-010-P,,,P,Marrom Café,0.30,BVBA,Camisetas|AW 2026,aw2026|drop2|oversized,
CMS-010,Camiseta Oversized Boxy Marrom Café Peito Esquerdo,,BVBA-CMS-010-M,,,M,Marrom Café,0.33,BVBA,,,
CMS-010,Camiseta Oversized Boxy Marrom Café Peito Esquerdo,,BVBA-CMS-010-G,,,G,Marrom Café,0.36,BVBA,,,
CMS-010,Camiseta Oversized Boxy Marrom Café Peito Esquerdo,,BVBA-CMS-010-GG,,,GG,Marrom Café,0.40,BVBA,,,
CMS-010,Camiseta Oversized Boxy Marrom Café Peito Esquerdo,,BVBA-CMS-010-XGG,,,XGG,Marrom Café,0.44,BVBA,,,
CMS-011,Camiseta Oversized Boxy Cinza Chumbo Peito Esquerdo,"Camiseta de modelagem oversized boxy com drop shoulder. Estampa no peito esquerdo (8 cm) e estampa centralizada nas costas (30 cm), em cinza claro. Etiqueta interna de tamanho BVBA e etiqueta clipes BVBA na manga esquerda. Coleção AW 2026.",BVBA-CMS-011-P,,,P,Cinza Chumbo,0.30,BVBA,Camisetas|AW 2026,aw2026|drop2|oversized,
CMS-011,Camiseta Oversized Boxy Cinza Chumbo Peito Esquerdo,,BVBA-CMS-011-M,,,M,Cinza Chumbo,0.33,BVBA,,,
CMS-011,Camiseta Oversized Boxy Cinza Chumbo Peito Esquerdo,,BVBA-CMS-011-G,,,G,Cinza Chumbo,0.36,BVBA,,,
CMS-011,Camiseta Oversized Boxy Cinza Chumbo Peito Esquerdo,,BVBA-CMS-011-GG,,,GG,Cinza Chumbo,0.40,BVBA,,,
CMS-011,Camiseta Oversized Boxy Cinza Chumbo Peito Esquerdo,,BVBA-CMS-011-XGG,,,XGG,Cinza Chumbo,0.44,BVBA,,,
